,text,user_id,score,hostel,location,link
4053,Everyone and everything there was great.  The breakfast was fabulous. ,6481724,10.0,Eurohotel,"Milan, Italy",http://www.hostelworld.com/hosteldetails.php/Eurohotel/Milan/2691
4054,"I thoroughly enjoyed my stay at Luna Rossa.  It was comfortable, clean, and convenient there.  I also appreciated having a computer to use in my room and having access to the kitchen.  I felt right at home there.  Thank you.",6481724,10.0,Soggiorno Rubino,"Florence, Italy",http://www.hostelworld.com/hosteldetails.php/Soggiorno-Rubino/Florence/11760
4055,"One employee wanted to turn off the air conditioning each night.  The rooms are too hot without it.  The front door was left wide open one morning, so that virtually anyone could get inside.  There appeared to be a leak from the showers, making the bathroom floors wet and slippery.  Everything else was great.",6481724,8.3,Emerald Fields,"Florence, Italy",http://www.hostelworld.com/hosteldetails.php/Emerald-Fields/Florence/15701
4056,"I felt very welcome during my first night at Frendz Resort Boracay.  During the rest of my stay there, however, I got the distinct impression that one of their FIlipino employees thought that I was a nuisance during the few times that I had a question or request.  He didn't say anything inappropriate, but I was picking up a negative vibe from him.  Otherwise, both the staff and the atmosphere at Frendz were fine.",6481724,8.7,Frendz Resort Boracay,"Boracay Island, Philippines",http://www.hostelworld.com/hosteldetails.php/Frendz-Resort-Boracay/Boracay-Island/12693
4057,"Very familiar, nice and atmospheric hostel 
I definitively recommend this",7353710,8.0,Trekkers Backpackers Resort,"Southport, Australia",http://www.hostelworld.com/hosteldetails.php/Trekkers-Backpackers-Resort/Southport/918
4058,Everything was great unless the Bathroom.,7353710,7.3,Welcome Hostel Prague Center,"Prague, Czech Republic",http://www.hostelworld.com/hosteldetails.php/Welcome-Hostel-Prague-Center/Prague/16318
4059,No customer comment,9437168,9.0,Casa de Billy Barcelona Gran Via,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Casa-de-Billy-Barcelona-Gran-Via/Barcelona/27282
4060,Great modern hostel in a safe area. Good value for money and breakfast worth paying for. ,6496195,9.3,Lub d Bangkok Silom,"Bangkok, Thailand",http://www.hostelworld.com/hosteldetails.php/Lub-d-Bangkok-Silom/Bangkok/24575
4061,"We spent a very good 4 days at the hostel. The only thing I would say is that the shower was sometimes very busy in the morings and that the weekend we were there one of the subway lines was closed so we had to walk a few more blocks to get into the centre but this could not be helped. Also, by now the coffee shop in the hostel should be completed, and it looked very nice! ",5886687,8.0,L Hostels,"New York, USA",http://www.hostelworld.com/hosteldetails.php/L-Hostels/New-York/29499
4062,"A great hostel with the exception that there was very little ventilation (no fan) in the double room. In an attempt to cool down at night we opened the windows but that was problematic in that it was very noisy throughout the night because of the traffic. In the end it was a toss up between heat or noise, and neither proved more comfortable.",7855789,8.3,Trotamundos Hostel Mendoza,"Mendoza, Argentina",http://www.hostelworld.com/hosteldetails.php/Trotamundos-Hostel-Mendoza/Mendoza/36667
4063,"Great location, friendly staff and overall a good hostel. The breakfast wasn't the best one (white toast and cereals), but hey for ï¿½10/night it's totally worth it",6081415,8.0,Abigails Hostel,"Dublin, Ireland",http://www.hostelworld.com/hosteldetails.php/Abigails-Hostel/Dublin/25382
4064,"Don't stay here unless you have no other choice. There is no kitchen or common room, and the bar downstairs does not make up for it. The drinks and food are over priced and they play dance music that was popular 5 years ago. ",6942661,4.3,St Christopher's Hammersmith,"London, England",http://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Hammersmith/London/20976
4065,"This hostel was nice, the staff were friendly and the location is excellent. BUT the staff are theives! They stole 2 full, unopened bottles of wine and a 6 pack of beer from my group! When we asked why, they said when the common room is cleaned the staff get ""dibs"" on any alcohol. They clean the room very often! Don't leave any alcohol in plain sight if you stay here, the staff will steal it and offer no apolligies.  ",6942661,8.3,Castle Rock Hostel,"Edinburgh, Scotland",http://www.hostelworld.com/hosteldetails.php/Castle-Rock-Hostel/Edinburgh/551
4066,"I had a great stay, very comfortable and clean. ",6942661,9.7,Be Dream Hostel,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Be-Dream-Hostel/Barcelona/11639
4067,"Highly recommended! Just like 3-4star hotel. :P
10mins walk to the central and very friendly and nice little bar called ""happy"" just in front of som guesthouse. ",8231821,10.0,Som Guesthouse,"Phuket, Thailand",http://www.hostelworld.com/hosteldetails.php/Som-Guesthouse/Phuket/23561
4068,"Clean, cheap, good location, friendly staff but rockhard beds. Its ok place to stay!",8231821,8.0,TWH-Tai Wan Hotel Hong Kong,"Hong Kong, Hong Kong",http://www.hostelworld.com/hosteldetails.php/TWH-Tai-Wan-Hotel-Hong-Kong/Hong-Kong/17642
4069,"Best hostel weÂ´ve stayed in and good value, price includes bicycles and breakfast.",5879114,9.3,Posada los Mapaches,"Tulum, Mexico",http://www.hostelworld.com/hosteldetails.php/Posada-los-Mapaches/Tulum/29661
4070,No customer comment,9939124,8.7,St Christopher's Hammersmith,"London, England",http://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Hammersmith/London/20976
4071,"Excellent place to stay. Much better location and much better value for money than staying in a hotel, which could be anywhere between 2-6 km. away from the Old Town.",7987107,10.0,Dubrovnik Old Town - Ane Rooms,"Dubrovnik, Croatia",http://www.hostelworld.com/hosteldetails.php/Dubrovnik-Old-Town-Ane-Rooms/Dubrovnik/38010
4072,No customer comment,7823230,8.7,Haus International,"Munich, Germany",http://www.hostelworld.com/hosteldetails.php/Haus-International/Munich/1457
4073,Staff were totally communicative and understanding with my missing my check in time. The lobby was SO useful for meeting people and finding maps and other info. ,7635057,7.3,Khaosan Tokyo Asakusa Annex,"Tokyo, Japan",http://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Asakusa-Annex/Tokyo/13458
4074,This was a great place to spend my first night. I found the host family warm and approachable. I highly recommend this if you need to get to the airport easily.,5190678,8.0,Hotel Green Day Inn,"Alajuela, Costa Rica",http://www.hostelworld.com/hosteldetails.php/Hotel-Green-Day-Inn/Alajuela/22928
4075,"BEST LOCATION  easy to access by only 1 bus from airport , it is reasonable for me .Blanket look old but clean.I will be back here",6626488,9.3,Sun Kong Hostel,"Hong Kong, Hong Kong",http://www.hostelworld.com/hosteldetails.php/Sun-Kong-Hostel/Hong-Kong/7854
4076,"not recommend I booked room before  months but they don't prepare room for me ,no room when I check in . They take me  to find another hotel ,take time 2 hours.I can set all about 3 AM. So tired.Hostel.com must reject this hotel.",6626488,5.0,Heng Fu Lai Hotel,"Guangzhou, China",http://www.hostelworld.com/hosteldetails.php/Heng-Fu-Lai-Hotel/Guangzhou/32546
4077,"easy to find.   a little bit far from city but not a problem because close to mrt , many bus can take on.room old but clean. electric & water are ok. located at the traffic junction so some noise from the road,but I sleep tight.",6626488,6.7,Frankel Hostel,"Singapore, Singapore",http://www.hostelworld.com/hosteldetails.php/Frankel-Hostel/Singapore/19813
4078,"reasonable price, location is a little far from the beach,but free pick u up at the airport.   
    ",6626488,7.3,Hotel Miki,"Kuta, Indonesia",http://www.hostelworld.com/hosteldetails.php/Hotel-Miki/Kuta/29773
4079,"new hostel,but the old building. small room,easy to find the local food,easy to go anywhere by bus and lrt train.  
    ",6626488,6.0,Zass Hotel,"Kuala Lumpur, Malaysia",http://www.hostelworld.com/hosteldetails.php/Zass-Hotel/Kuala-Lumpur/31297
4080,"Very pleasent staff , especially Helen who organised the food for us . She is a gem.",8284459,9.3,Knockree Hostel (Hostelling International),"Wicklow, Ireland",http://www.hostelworld.com/hosteldetails.php/Knockree-Hostel-Hostelling-International/Wicklow/12223
4081,Aki was an amazing helper. I didn't know there was a free service available to have a volunteer guide for a day... that would've been such a great help to me... Please advertise that service better!,7182166,10.0,Sakura Hotel Ikebukuro,"Tokyo, Japan",http://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Ikebukuro/Tokyo/22747
4082,"This is easily the best hostel IÂ´ve stayed at in Costa Rica and possibly in all of my international travels.  The staff at this hostel are incredibly kind and helpful.  The place is remarkably clean and the atmosphere is very laid back and easy going.  In terms of location, it is right in the university area of the city so there are plenty of bars/clubs right around the corner.  Its perfectly situated for people to access the downtown core by one bus that leaves from right outside the hostel.",6699191,10.0,Hostel Urbano,"San Jose, Costa Rica",http://www.hostelworld.com/hosteldetails.php/Hostel-Urbano/San-Jose/58031
4083,Perfect size for a hostel.  Very conducive to meeting people.  Great place for party-goers or even laid back people.  5-10 minute walk from Placa Catalunya which is where Las Ramblas begins.  Staff were by far the best IÂ´ve met thus far.,6699191,10.0,Sant Jordi Alberg,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Sant-Jordi-Alberg/Barcelona/4623
4084,Good location to start exploring the Cinque Terre.  No lockers were a negative.  Solid Kitchen and two full washrooms were a plus.  Met great people which makes all the difference in the world.,6699191,9.0,Mar-Mar,"Cinque Terre, Italy",http://www.hostelworld.com/hosteldetails.php/Mar-Mar/Cinque-Terre/27194
4085,"The room felt like an oven and there was one single fan that was constantly being ""readjusted"" by people in the night... maybe invest in a second fan? maybe?",6699191,7.3,The Yellow,"Rome, Italy",http://www.hostelworld.com/hosteldetails.php/The-Yellow/Rome/743
4086,"I am not a fan of big hotel sized hostels.. but when you have a pool, sauna, turkish bath, pool tables, and roof top terrace with a fabulous view of the city... you cant go wrong.",6699191,9.3,PLUS Florence,"Florence, Italy",http://www.hostelworld.com/hosteldetails.php/PLUS-Florence/Florence/22996
4087,"ItÂ´s hard to find good accomodation IN venice... That being said this place is a very good place to stay if you want to get a feel for the city.. itÂ´s right on the Gran Canal... thereÂ´s a water bus stop right outside that can take you all the way to Piazza San Marco or even Lido if you want... The guy working at the hostel, Tomo, is awesome!",6699191,8.7,L' Imbarcadero,"Venice, Italy",http://www.hostelworld.com/hosteldetails.php/L-Imbarcadero/Venice/25919
4088,Area is a little sketchy and out of the way but otherwise a good hostel,6699191,7.7,St Christopher's Inn Canal,"Paris, France",http://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-Canal/Paris/19865
4089,"SO much better than I ever imagined it would be!! It was so clean and everyone at the hostel was SO friendly and helpful.  IF/WHEN I go back to Naha, I'm definitely staying here again.",6684158,10.0,Okinawa Sora House,"Okinawa, Japan",http://www.hostelworld.com/hosteldetails.php/Okinawa-Sora-House/Okinawa/14345
4090,No customer comment,6626855,9.3,GlobArt Hostel,"Krakow, Poland",http://www.hostelworld.com/hosteldetails.php/GlobArt-Hostel/Krakow/28445
4091,the beds are too close to eachother and there is space for nothing more than 4 beds and 2 chairs in the room. I had the  bed next to the heating which was so hot that I couldn't sleep. Didn't like it at all.no soap in the toilet too.,8126859,4.3,International Budget Hostel,"Amsterdam, Netherlands",http://www.hostelworld.com/hosteldetails.php/International-Budget-Hostel/Amsterdam/619
4092,"Auberge trÃ¨s bien situÃ©e,  a proximitÃ© du metro. Bonne literie, sanitaires partagÃ©s propres, nous n'avons jamais eu besoin d'attendre notre tour. Le seul regret le wifi n'est pas disponible dans les chambres mais seulement dans les parties communes. Nous recommandons vivement l'adresse !",7304646,8.6,Broadway Hotel n Hostel,"New York, USA",http://www.hostelworld.com/hosteldetails.php/Broadway-Hotel-n-Hostel/New-York/16002
4093,"Hostel is on 3rd floor, but there is no elevator or escalator, thus not recommended for travelers with big luggage. Room is definitely too small to fit in a big luggage. However, the bedclothes are of high quality, a comfortable and clean place for short stay. Location is strategic, few tourist attractions are within walking distance, while others can be easily reached by bus. Si Da Hau main bus stop is just 5-minute walk from the hostel. Staffs are nice and friendly. Price is reasonable. Good!",8540060,9.7,Macau Home,"Macau, Macau",http://www.hostelworld.com/hosteldetails.php/Macau-Home/Macau/42379
4094,brilliant place to stay in d heart of amsterdam!!,6401556,9.3,The White Tulip Hostel,"Amsterdam, Netherlands",http://www.hostelworld.com/hosteldetails.php/The-White-Tulip-Hostel/Amsterdam/16779
4095,"this is a fab hostel - comfortable beds, very clean and staff were friendly. i'd definately recommend staying here! ",5784512,9.3,Lub d Bangkok Silom,"Bangkok, Thailand",http://www.hostelworld.com/hosteldetails.php/Lub-d-Bangkok-Silom/Bangkok/24575
4096,No customer comment,9175133,8.3,Park Guest House,"Hong Kong, Hong Kong",http://www.hostelworld.com/hosteldetails.php/Park-Guest-House/Hong-Kong/27376
4097,The beds were really spacious! The outside sitting area was nice.,6327881,8.0,Eighty8 Phnom Penh,"Phnom Penh, Cambodia",http://www.hostelworld.com/hosteldetails.php/Eighty8-Phnom-Penh/Phnom-Penh/48940
4098,No customer comment,6327881,8.3,Piya Hotel/Hostel,"Istanbul, Turkey",http://www.hostelworld.com/hosteldetails.php/Piya-Hotel-Hostel/Istanbul/47615
4099,Thanks for the delicious sandwichs and all your help!!! We had a great time there.,8757204,8.3,Eastgate Backpackers Hostel,"Inverness, Scotland",http://www.hostelworld.com/hosteldetails.php/Eastgate-Backpackers-Hostel/Inverness/572
4100,A superb address for a stay. Very clean rooms and bathroom; kind receipt and a very helpfull owner.,6514059,9.3,A Scalinatella,"Amalfi, Italy",http://www.hostelworld.com/hosteldetails.php/A-Scalinatella/Amalfi/758
4101,"Very noisy; there was no respect for the sleeping guests. We had a 7-bedroom on the terrass level, going on a party till 2.30 AM.
The shower room was all wet without a room to change cloths.",6514059,5.3,Hostel Brikette,"Positano, Italy",http://www.hostelworld.com/hosteldetails.php/Hostel-Brikette/Positano/7763
4102,No customer comment,9496755,8.0,The Dreamer Hostel,"Santa Marta, Colombia",http://www.hostelworld.com/hosteldetails.php/The-Dreamer-Hostel/Santa-Marta/40548
4103,No customer comment,9496755,9.1,El Viajero Cartagena Hostel,"Cartagena, Colombia",http://www.hostelworld.com/hosteldetails.php/El-Viajero-Cartagena-Hostel/Cartagena/44341
4104,No customer comment,9496755,10.0,Masaya Hostel BogotÃ¡,"Bogota, Colombia",http://www.hostelworld.com/hosteldetails.php/Masaya-Hostel-Bogota/Bogota/57813
4105,"one of the best hostels ive ever stayed at! (and ive stayed in quite a few).
Excellent spot, and staff were really friendly and directed me to some good places- like the cognac steak place!",6941378,10.0,The Blue Cow Backpackers,"Riga, Latvia",http://www.hostelworld.com/hosteldetails.php/The-Blue-Cow-Backpackers/Riga/41892
4106,"this place is excellent. by far the best hostel i have ever stayed in.
had a fun time, staff organised things to do in Riga and rooms and beds were very clean and tidy.
would reccommmend.
",6941378,10.0,The Naughty Squirrel Backpackers Hostel,"Riga, Latvia",http://www.hostelworld.com/hosteldetails.php/The-Naughty-Squirrel-Backpackers-Hostel/Riga/5932
4107,No customer comment,9973111,8.3,Safestay York,"York, England",http://www.hostelworld.com/hosteldetails.php/Safestay-York/York/36600
4108,Located near the central station. Friendly and helpful staff. Recomended. ,9252428,8.3,Backpackers Hostel K's House Kyoto,"Kyoto, Japan",http://www.hostelworld.com/hosteldetails.php/Backpackers-Hostel-K-s-House-Kyoto/Kyoto/5536
4109,its an excellent place to relax with very friendly and helpful staff/owner. didn't realise when we booked it that it isn't in sintra town but the location is excellent nonetheless,7159381,9.3,The House of The She Pine Tree,"Sintra, Portugal",http://www.hostelworld.com/hosteldetails.php/The-House-of-The-She-Pine-Tree/Sintra/30675
4110,right next to the RER to get to town center.,7349314,7.3,Hotel Hipotel Paris Hippodrome,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Hotel-Hipotel-Paris-Hippodrome/Paris/29790
4111,The plumbing was not working very well and the rooms in general were a bit dirty. ,5022526,7.0,Bus Station Backpackers Edinburgh Hostel,"Edinburgh, Scotland",http://www.hostelworld.com/hosteldetails.php/Bus-Station-Backpackers-Edinburgh-Hostel/Edinburgh/20749
4112,"We had a bit of a problem figuring out the bill when we arrived. Our math was correct, but the owner didn't divide the bill correctly at first, so that was a bit frustrating. But beyond that, they were all very friendly, breakfast was very good, and the rooms were cleaned while we were out in town, so that was nice to know. It's really close to several metro stops, and the neighborhood seemed safe. Thanks!",5022526,7.7,Hotel Voltaire Republique,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Hotel-Voltaire-Republique/Paris/5136
4113,"The rooms were clean and pretty comfy. The hostel offers quite a bit, but it would have been nice to have free wi-fi, or at least more computers to use. The staff were friendly, but not as helpful as the ones at other hostels. The bar and restaurant were great to have, and we were there for free crepe night. Didn't get a chance to use the disco. Still, a great place to stay. ",5022526,9.0,Ciarus,"Strasbourg, France",http://www.hostelworld.com/hosteldetails.php/Ciarus/Strasbourg/7043
4114,"It was a bit tough to shower without a curtain, but the room was clean and the hotel was easy to find. Breakfast was good and the staff were nice. ",5022526,9.0,Hotel des Savoies,"Lyon, France",http://www.hostelworld.com/hosteldetails.php/Hotel-des-Savoies/Lyon/2248
4115,"Besides the rather long walk up the hill, it was a great place to stay. The pick up from the tram was really nice, and all the info from the staff was really appreciated. Free internet and breakfast was so great. Thanks for a great stay!",5022526,9.0,Villa Saint Exupery Gardens,"Nice, France",http://www.hostelworld.com/hosteldetails.php/Villa-Saint-Exupery-Gardens/Nice/4734
4116,"We loved the room and the two bathrooms. Breakfast was great, the staff were super helpful and it was really clean. Thanks so much!",5022526,8.3,Vertigo Centre,"Marseille, France",http://www.hostelworld.com/hosteldetails.php/Vertigo-Centre/Marseille/20103
4117,No customer comment,8788016,8.3,Sleep in Heaven,"Copenhagen, Denmark",http://www.hostelworld.com/hosteldetails.php/Sleep-in-Heaven/Copenhagen/690
4118,Keep going like that! If I had one suggestion: make it even clearer to your visitor how to reach the place. I may be mistaken but in your itinerary description there is no mention of the glass-and-steel building on the opposite side of the street: it is a good orientation point.,9326875,9.0,Happy Hostel,"Belgrade, Serbia",http://www.hostelworld.com/hosteldetails.php/Happy-Hostel/Belgrade/18005
4119,"Good budget hotel - great price for Vegas. Only thing was that the Denny's breakfast was not as cheap as advertised on Hostel World, the $3 bus transfer no longer exists and you need to pay an additional $5 per day in amenity charges. But it was still a great deal and close to a lot of fast food joints and walking distance to The Strip. ",8602887,8.3,AAE Casino Wild West Las Vegas,"Las Vegas, USA",http://www.hostelworld.com/hosteldetails.php/AAE-Casino-Wild-West-Las-Vegas/Las-Vegas/18521
4120,very nice. good suprise. close to the center.,7380126,9.0,Dizzy Daisy Hostel Prague,"Prague, Czech Republic",http://www.hostelworld.com/hosteldetails.php/Dizzy-Daisy-Hostel-Prague/Prague/29960
4121,"Had a wicked time.The room was great, hostel and bar staff were really helpful, fun and attractive!!Also excellent location right next to the red light district. Would go back in a instant if i could afford it!!",7499643,9.0,The White Tulip Hostel,"Amsterdam, Netherlands",http://www.hostelworld.com/hosteldetails.php/The-White-Tulip-Hostel/Amsterdam/16779
4122,"i went there with my husband and my little baby (5 mounths), we stayed very very good, like at our home. Italian owner was wonderfull. Guest house is very nice and clean and it's located 7 minutes near Frenchmen cove beach and 100m near a beautifull landscape of the sea.",6757654,10.0,Search-me-Heart,"Port Antonio, Jamaica",http://www.hostelworld.com/hosteldetails.php/Search-me-Heart/Port-Antonio/3403
4123,"It\'s really far from the centre of London, but understandable for the price; we can take the bus 53 for 24h, but it\'s easier to take the train. I\'d suggest the guests to check in after 2 pm to be sure. I had to wait for around 4 hours to be able to check in. the staff\'s quite nice.It\'s a great youth hostel if you want to stay in for a longtime.",5740350,6.3,Journeys London East Hostel,"London, England",http://www.hostelworld.com/hosteldetails.php/Journeys-London-East-Hostel/London/27302
4124,"Definitely a good place to stay, friendly staff, clean and comfy. Even the single beds are wide. 2 minutes walk from the beach, apparently a great surfing spot. No lockers. You must pay cash.",6728935,8.3,"Strandhill Lodge, Hostel & Surf School","Sligo, Ireland",http://www.hostelworld.com/hosteldetails.php/Strandhill-Lodge-Hostel-and-Surf-School/Sligo/1425
4125,"So freezing inside that you make smoke when you breathe ! Heaters were broken in rooms, ours was dirty. Very crappy kitchen whose ceiling is falling apart.
Staff is easygoing though, gave us a working heater and broomed our room when requested. You must pay cash, and the closest ATM is 20 kms away.
No breakfast offered, and you must pay 2â¬ to borrow linen.
Can help you out if you need to stay the night in the area.",6728935,5.0,Ben Lettery Youth Hostel (Hostelling International,"Connemara, Ireland",http://www.hostelworld.com/hosteldetails.php/Ben-Lettery-Youth-Hostel-Hostelling-International/Connemara/4750
4126,"Old building but clean and well located on Eyre Square. There are lockers in rooms yet you must bring your own lock. The staff is friendly and helpful. Music, TV and board games in the common room. We got some noise from the street because of works in the neighbourhood till 2am. Only 6 showers (3m, 3f) for the whole hostel. Fair breakfast but the ""orange juice"" is awful and only two basic sorts of cereal available.
You can get a voucher for a close multi storey car park which would cost 5â¬ a night (till 11am) then. All in all a good deal especially with the discounted tuesdays price.",6728935,8.7,The Galway City Hostel,"Galway, Ireland",http://www.hostelworld.com/hosteldetails.php/The-Galway-City-Hostel/Galway/13747
4127,"Awesome place, awesome deal. 2 common rooms, one with flat TV which is always good, but too cold despite the fireplace. It was warm in our very large room though.
Free internet with computers so you don't have to bring your own. Classy dining room and incredbly large and professionnally furnished kitchen, you could fit tens of cooks in it !
No private car park, you have to park on street which is free from 7pm to 9 am.
No locker in rooms but the place seems quite safe, with card-checked access to rooms and corridors.",6728935,9.7,Rowan Tree Hostel,"Ennis, Ireland",http://www.hostelworld.com/hosteldetails.php/Rowan-Tree-Hostel/Ennis/30465
4128,Shower rooms were too small.,7239563,6.3,Center Ramblas,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Center-Ramblas/Barcelona/1025
4129,"Great location and nice and clean. Within walking distance from Termini Station, the metro was close by and you can walk easily to the Spanish Steps, Trevi fountain and other sights. I was only there for the weekend and didn't spend much time at the hostel so can't really comment on the atmosphere but it definately wasn't a party place which suited me perfectly.",9903912,8.7,La Controra Hostel Rome,"Rome, Italy",http://www.hostelworld.com/hosteldetails.php/La-Controra-Hostel-Rome/Rome/46361
4130,"The guests are not descipline, they make noise, and they don't respect each other.  It is highly recommended that the hostel management makes some conditions for the guests...

Some guests are muslims, and they want to pray.  So, it is very good if the hostel could provide a space for the purpose of praying.",6597491,7.1,Smart Hyde Park Inn Hostel,"London, England",http://www.hostelworld.com/hosteldetails.php/Smart-Hyde-Park-Inn-Hostel/London/517
4131,"The customers come from different countries.  makesure all staffs can speak english so that the communication is easier.  also, kitchen is very important...",6597491,4.0,Hotel Panizza,"Milan, Italy",http://www.hostelworld.com/hosteldetails.php/Hotel-Panizza/Milan/30828
4132,you kids are awesome. i'll back and see you guys when i get a chance!!!,8008679,9.7,USA Hostels Hollywood,"Los Angeles, USA",http://www.hostelworld.com/hosteldetails.php/USA-Hostels-Hollywood/Los-Angeles/824
4133,"Nice and quiet, perfect rest spot after a long flight. We biked to the nearby pub on the free bikes. 
There are renovations ongoing but the characters working there kept real quiet while we were sleeping. A real familiar homely environment. 
",8404747,10.0,Tranquil Lodge,"Christchurch, New Zealand",http://www.hostelworld.com/hosteldetails.php/Tranquil-Lodge/Christchurch/21156
4134,I thought one staff in particular was very helpful in arranging a day tour and other information.,7252920,7.3,Guilin Dozycat Hostel,"Guilin, China",http://www.hostelworld.com/hosteldetails.php/Guilin-Dozycat-Hostel/Guilin/28970
4135,No customer comment,9737118,7.0,Dragon Hostel Hong Kong,"Hong Kong, Hong Kong",http://www.hostelworld.com/hosteldetails.php/Dragon-Hostel-Hong-Kong/Hong-Kong/5065
4136,"Looks really sketch on the outside, but its pretty nice and clean inside.
I would definitely stay here again.",7560132,7.3,Baxpax Kreuzberg Hostel,"Berlin, Germany",http://www.hostelworld.com/hosteldetails.php/Baxpax-Kreuzberg-Hostel/Berlin/1452
4137,"BEWARE! This hostel requires a whole weeks cancellation. This is written in very small characters once you have booked and not before. Consequently I forfeited an entire nights fee as I gave only 48 hours notice. I don't think this hostel should be allowed to advertise on Hostelworld,as it is not adhering to the conditions of the website. ",6777864,2.0,Comte de Nice,"Nice, France",http://www.hostelworld.com/hosteldetails.php/Comte-de-Nice/Nice/4832
4138,Staff were a good laugh and helpful  and there was a nice atmosphere and i would stay again,5882762,9.3,The LONDON EYE Hostel,"London, England",http://www.hostelworld.com/hosteldetails.php/The-LONDON-EYE-Hostel/London/528
4139,We were sorry to find out that the internet inside the hotel is not free and there was no wi-fi((,7339267,9.3,Grand Hotel Magenta,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Grand-Hotel-Magenta/Paris/8640
4140,I was so impressed with this place! Such good value and very helpful staff. A real treasure! ,5724296,9.3,Vicho,"Palermo, Italy",http://www.hostelworld.com/hosteldetails.php/Vicho/Palermo/23214
4141,a great hostel with the best host Cuba|||,5481346,9.0,Hostel Green Mazovia,"Warsaw, Poland",http://www.hostelworld.com/hosteldetails.php/Hostel-Green-Mazovia/Warsaw/22011
4142,No customer comment,6965792,8.3,Astor Hyde Park,"London, England",http://www.hostelworld.com/hosteldetails.php/Astor-Hyde-Park/London/25678
4143,"Everything was just great except for one minus, which was unfortenatelly a big one: there were rats.",8262418,8.7,Green Light Hostel,"St Petersburg, Russia",http://www.hostelworld.com/hosteldetails.php/Green-Light-Hostel/St-Petersburg/33318
4144,No customer comment,7214518,10.0,Snail Hostal,"San Cristobal de las Casas, Mexico",http://www.hostelworld.com/hosteldetails.php/Snail-Hostal/San-Cristobal-de-las-Casas/96864
4145,No customer comment,7214518,9.4,Hans Brinker Hostel,"Lisbon, Portugal",http://www.hostelworld.com/hosteldetails.php/Hans-Brinker-Hostel/Lisbon/38217
4146,"- ""some cakes will be served in the morning, first come first served"" does not mean ""breakfast included""
- someone from the hostel staff entered in the room in the morning by mistake and was very impolite.",7214518,5.3,Canadiana Backpackers Inn,"Toronto, Canada",http://www.hostelworld.com/hosteldetails.php/Canadiana-Backpackers-Inn/Toronto/863
4147,No customer comment,5058999,7.3,Alberg Gaudi,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Alberg-Gaudi/Barcelona/5224
4148,No customer comment,8663248,9.0,Seorak Morning Inn,"Sokcho, South Korea",http://www.hostelworld.com/hosteldetails.php/Seorak-Morning-Inn/Sokcho/29777
4149,"Fun place with a nice bar. Certainly for the price, 3,90, a great breakfast. Only minor thing were the showers; push-buttons and hard to keep your clothes dry.",8663248,9.7,Euro Youth Hostel,"Munich, Germany",http://www.hostelworld.com/hosteldetails.php/Euro-Youth-Hostel/Munich/1456
4150,"Nice value for money. Clean, good looking decent place in center of town, kind people. The optional breakfast (7,50) was ok, except that it included eggs that weren't cooked at all... So just save those 7,50 and you'll be fine!",8663248,9.0,Budgett Hostels,"Groningen, Netherlands",http://www.hostelworld.com/hosteldetails.php/Budgett-Hostels/Groningen/43276
4151,"Would definitely return there again. A true gem of a Hostel (ideal base point for Evora exploration, including cosy kitchen + breakfast, 'like home' atmosphere), run by very dedicated, warm & helpfull staff, for a great price (!)",8663248,9.7,Old Evora,"Evora, Portugal",http://www.hostelworld.com/hosteldetails.php/Old-Evora/Evora/41544
4152,"You are staying in one of the two bedrooms of a cosy, clean, Portuguese apartment (you can use kitchen) of a very kind, funny, helpful lady. (Sorry to leave in a hurry Azelinda, hope you enjoyed the \'Velhotes\'!). Great views over city&sea. I\'d definitely return there.",8663248,9.3,Azelinda Guesthouse,"Lagos, Portugal",http://www.hostelworld.com/hosteldetails.php/Azelinda-Guesthouse/Lagos/16422
4153,Ideal hostel for budgettravelers looking to stay in the lively area where mostly Venetians go for a coffee in the afternoon or a 'botellon' in the night.,8663248,8.0,Antico Capon,"Venice, Italy",http://www.hostelworld.com/hosteldetails.php/Antico-Capon/Venice/3825
4154,No customer comment,9522107,7.7,Forest Glen,"Kandy, Sri Lanka",http://www.hostelworld.com/hosteldetails.php/Forest-Glen/Kandy/39242
4155,Lovely family and lovely place! They couldn&#39;t do more for us. Great value for nice dorms. Would recommend.,8716483,10.0,Kim's Homestay,"Hue, Vietnam",http://www.hostelworld.com/hosteldetails.php/Kim-s-Homestay/Hue/93589
4156,No customer comment,9140053,9.7,Hostel Really Central Kiev,"Kiev, Ukraine",http://www.hostelworld.com/hosteldetails.php/Hostel-Really-Central-Kiev/Kiev/34101
